GeneSymbol	class	AvanaGeneRank	GeCKOv1GeneRank	AvanaSelected	GeCKOv1Selected	TPM	IsoPct	maxTX	D2_combined	DeepmapAllScreens	Avana6_lentiCRISPRv2_STARSscore	Avana6_lentiGuide_STARSscore	GeCKOv2_lentiGuide_STARSscore	Doench2016merged_STARSscore
NENF	NonEssential_Genes	180	6810	NA	NA	29.32	100	ENST00000366988.3	0.053261539161	0.0812412279641	NA	NA	1.177240865	0.810801316
HOXA10	NonEssential_Genes	1941	11358	NA	NA	7.41	99.3252361673414	ENST00000283921.4	0.0240579640114	-0.01076145101915	NA	NA	NA	0.762900577
HOXB9	NonEssential_Genes	2532	7018	NA	NA	11.83	100	ENST00000311177.5	-0.0780228109005	0.00787346962857	NA	NA	NA	NA
C1orf174	NonEssential_Genes	4381	12751	NA	NA	22.22	100	ENST00000361605.3	0.0662946220171	-0.0727929098771	NA	NA	NA	NA
IGFBP4	NonEssential_Genes	1587	3331	NA	NA	63.76	99.7176913425345	ENST00000269593.4	-0.0369021543989	0.00377297025643	NA	NA	NA	NA
ITGA2	NonEssential_Genes	5410	628	NA	NA	10.82	98.7060998151571	ENST00000296585.5	0.00374943314182	-0.0617173572041	NA	NA	NA	NA
KIFC1	NonEssential_Genes	12023	14982	NA	NA	34.79	98.7640126473125	ENST00000428849.2	0.0860423709816	-0.0902657420213	NA	NA	NA	NA
LMNB1	NonEssential_Genes	5473	7558	NA	NA	79.49	99.547112844383	ENST00000261366.5	-0.0766776285031	-0.0876623612579	NA	NA	NA	NA
TXNDC11	NonEssential_Genes	3794	7408	NA	NA	12.27	94.4580277098615	ENST00000283033.5	0.0115336010921	-0.0787190315924	NA	NA	NA	NA
EGFL7	NonEssential_Genes	4846	9675	NA	NA	6.54	99.388379204893	ENST00000371698.3	0.0132393629572	-0.00969270960479	NA	NA	NA	NA
DCTN4	NonEssential_Genes	15055	1764	NA	NA	26.87	91.7379977670264	ENST00000447998.2	-0.045706635312	-0.00890389820053	NA	NA	NA	0.710928848
TACO1	NonEssential_Genes	534	5492	NA	NA	21.92	100	ENST00000258975.6	0.0111742188557	0.0877958284415	NA	NA	NA	NA
CRLS1	NonEssential_Genes	12083	14533	NA	NA	19.67	85.1042196237926	ENST00000378868.4	-0.0527684279945	-0.0760073904649	NA	NA	NA	NA
NEIL3	NonEssential_Genes	8507	5064	NA	NA	8.66	90.7621247113164	ENST00000264596.3	0.0187131166157	-0.0142422346848	1.319732565	NA	NA	NA
FRMD4A	NonEssential_Genes	12327	2881	NA	NA	15.46	95.7309184993532	ENST00000358621.4	0.0416045784333	0.0416045784333	NA	NA	NA	NA
PECR	NonEssential_Genes	1994	4761	NA	NA	5.41	95.1940850277264	ENST00000265322.7	0.0279861700389	0.0681516626774	NA	NA	NA	NA
TBC1D24	NonEssential_Genes	2924	6761	NA	NA	5.58	82.4372759856631	ENST00000567020.1	-0.0953772548614	0.0225371688463	NA	NA	NA	NA
SHROOM4	NonEssential_Genes	9740	16971	NA	NA	5.17	85.2998065764023	ENST00000376020.2	-0.0321159516125	-0.0454469721579	NA	NA	NA	NA
PWP2	NonEssential_Genes	18078	14739	NA	NA	29.73	97.8472922973427	ENST00000291576.7	-0.0632002609573	-0.0558211285965	2.961765766	6.852862664	3.226250808	8.210502134
RCN2	NonEssential_Genes	1403	13966	NA	NA	69.83	78.5335815552055	ENST00000394885.3	-0.0863114860108	-0.010740621936	NA	NA	NA	NA
SORT1	NonEssential_Genes	12812	3593	NA	NA	6.74	81.0089020771513	ENST00000256637.6	-0.0116081254811	0.00526498714828	NA	NA	NA	NA
SMARCC2	NonEssential_Genes	2653	7424	NA	NA	40.2	77.5373134328358	ENST00000267064.4	-0.0534480640378	-0.0648014479904	NA	NA	1.259187339	0.875842103
CAPN15	NonEssential_Genes	5674	NA	NA	NA	15.29	87.1811641595814	ENST00000219611.2	-0.0315325077169	-0.0486658717592	NA	NA	NA	NA
TCTA	NonEssential_Genes	7702	3615	NA	NA	21.66	100	ENST00000273590.3	-0.000428689545509	0.0104290767471	NA	NA	NA	NA
PHLDA2	NonEssential_Genes	3022	NA	NA	NA	43.46	100	ENST00000314222.4	-0.059583734891	-0.0933871403555	NA	NA	NA	NA
BTG2	NonEssential_Genes	14618	17405	NA	NA	8.81	82.1793416572077	ENST00000290551.4	-0.0204549943727	-0.0711870449234	NA	NA	NA	NA
TTPAL	NonEssential_Genes	9328	15456	NA	NA	12.05	77.5103734439834	ENST00000262605.4	-0.0460851244928	0.0917893874159	NA	NA	NA	NA
SNIP1	NonEssential_Genes	17920	4601	NA	NA	9.64	100	ENST00000296215.6	-0.00513156955507	-0.051237039523	NA	NA	NA	1.813725777
BORA	NonEssential_Genes	17983	7065	NA	NA	8.88	89.3018018018018	ENST00000390667.5	-0.0230464920752	0.0947470157594	1.965849606	NA	1.843451603	1.281545817
HMGA2	NonEssential_Genes	11412	8807	NA	NA	36.15	85.3665283540802	ENST00000403681.2	0.0547362652122	-0.00633227967695	NA	NA	NA	NA
DIAPH3	NonEssential_Genes	2879	12110	NA	NA	5.34	91.5730337078652	ENST00000400324.4	-0.0898223239473	-0.0360568650567	NA	NA	NA	NA
MARVELD1	NonEssential_Genes	NA	NA	NA	NA	24.22	100	ENST00000285605.6	0.00148310317348	0.0776139009281	NA	NA	NA	NA
TMEM246	NonEssential_Genes	6887	14834	NA	NA	6.38	99.8432601880878	ENST00000374848.3	-0.0445173831629	-0.0243624193817	NA	NA	1.926644139	1.405164939
EBPL	NonEssential_Genes	484	NA	NA	NA	34.02	89.917695473251	ENST00000242827.6	0.0621516797138	0.06492177812105	NA	NA	NA	NA
SLC45A3	NonEssential_Genes	12931	4394	NA	NA	14.81	100	ENST00000367145.3	-0.0872357455317	-0.0488940364723	NA	NA	NA	NA
ZBTB40	NonEssential_Genes	16250	1460	NA	NA	8.89	94.6006749156355	ENST00000375647.4	-0.0355741263802	-0.0550964545182	NA	NA	NA	NA
